expected_label,predicted_label,count,is_correct
Diploma in Engineering||__NONE__,Post Graduate Diploma||__NONE__,213,False
Diploma in Engineering||Artificial Intelligence and Machine Learning,Diploma in Engineering||__NONE__,43,False
Post Graduate Diploma||Accounting,Diploma in Engineering||Accounting,40,False
Post Graduate Diploma||Banking and Finance,Diploma in Engineering||Banking and Finance,40,False
Post Graduate Diploma||Commerce,Diploma in Engineering||Commerce,40,False
Post Graduate Diploma||Entrepreneurship,Diploma in Engineering||Entrepreneurship,40,False
Post Graduate Diploma||Finance,Diploma in Engineering||Finance,40,False
Post Graduate Diploma||Human Resources Management,Diploma in Engineering||__NONE__,40,False
Post Graduate Diploma||International Business,Diploma in Engineering||International Business,40,False
Post Graduate Diploma||Marketing,Diploma in Engineering||Marketing,40,False
Post Graduate Diploma||Operations Management,Diploma in Engineering||Operations Management,40,False
Diploma in Engineering||Aerospace Engineering,Diploma in Engineering||__NONE__,33,False
Diploma in Engineering||Biotechnology Engineering,Diploma in Engineering||__NONE__,33,False
Diploma in Engineering||Computer Science and Engineering,Diploma in Engineering||__NONE__,33,False
Diploma in Engineering||Electrical Engineering,Diploma in Engineering||__NONE__,33,False
Diploma in Engineering||Electronics and Communication Engineering,Diploma in Engineering||__NONE__,33,False
Diploma in Engineering||Instrumentation Engineering,Diploma in Engineering||__NONE__,33,False
Diploma in Engineering||Metallurgical Engineering,Diploma in Engineering||__NONE__,33,False
Diploma in Engineering||Production Engineering,Diploma in Engineering||__NONE__,33,False
Diploma in Engineering||Textile Engineering,Diploma in Engineering||__NONE__,33,False
Master of Business Administration||Human Resources Management,Master of Business Administration||__NONE__,30,False
Master of Science||Computer Science and Engineering,Master of Science||__NONE__,30,False
Post Graduate Diploma||Business Administration,Diploma in Engineering||Business Administration,30,False
Bachelor of Business Administration||Human Resources Management,Bachelor of Business Administration||__NONE__,27,False
Bachelor of Business Administration||Accounting,__NONE__||Accounting,25,False
Bachelor of Business Administration||Banking and Finance,__NONE__||Banking and Finance,25,False
Bachelor of Business Administration||Business Administration,__NONE__||Business Administration,25,False
Bachelor of Business Administration||Commerce,__NONE__||Commerce,25,False
Bachelor of Business Administration||Entrepreneurship,__NONE__||Entrepreneurship,25,False
Bachelor of Business Administration||Finance,__NONE__||Finance,25,False
Bachelor of Business Administration||Human Resources Management,__NONE__||__NONE__,25,False
Bachelor of Business Administration||International Business,__NONE__||International Business,25,False
Bachelor of Business Administration||Marketing,__NONE__||Marketing,25,False
Bachelor of Business Administration||Operations Management,__NONE__||Operations Management,25,False
Bachelor of Computer Applications||Computer Applications,__NONE__||Computer Applications,25,False
Bachelor of Science||Biochemistry,__NONE__||Biochemistry,25,False
Bachelor of Science||Bioinformatics,__NONE__||Bioinformatics,25,False
Bachelor of Science||Biology,__NONE__||Biology,25,False
Bachelor of Science||Botany,__NONE__||Botany,25,False
Bachelor of Science||Chemistry,__NONE__||Chemistry,25,False
Bachelor of Science||Computer Science and Engineering,__NONE__||__NONE__,25,False
Bachelor of Science||Geology,__NONE__||Geology,25,False
Bachelor of Science||Mathematics,__NONE__||Mathematics,25,False
Bachelor of Science||Microbiology,__NONE__||Microbiology,25,False
Bachelor of Science||Physics,__NONE__||Physics,25,False
Bachelor of Science||Statistics,__NONE__||Statistics,25,False
Bachelor of Science||Zoology,__NONE__||Zoology,25,False
Bachelor of Science||__NONE__,__NONE__||__NONE__,24,False
Master of Computer Applications||__NONE__,Master of Science||__NONE__,23,False
Bachelor of Computer Applications||Computer Science (Applications),__NONE__||Computer Science (Applications),20,False
Bachelor of Science||Computer Science and Engineering,Bachelor of Science||__NONE__,20,False
Doctor of Philosophy||Computer Science and Engineering,Doctor of Philosophy||__NONE__,20,False
Bachelor of Computer Applications||__NONE__,Bachelor of Science||__NONE__,19,False
Master of Technology||__NONE__,__NONE__||__NONE__,19,False
Post Graduate Diploma||Human Resources Management,Post Graduate Diploma||__NONE__,19,False
Bachelor of Engineering||Metallurgical Engineering,Bachelor of Engineering||__NONE__,16,False
Bachelor of Technology||Metallurgical Engineering,Bachelor of Technology||__NONE__,16,False
Master of Engineering||Metallurgical Engineering,Master of Engineering||__NONE__,16,False
Master of Technology||Metallurgical Engineering,Master of Technology||__NONE__,16,False
