raw_input,expected_degree,predicted_degree,expected_field,predicted_field,status,layer_used,confidence,fuzzy_score,error_category
10th Standard qualification,10th Standard,12th Standard,,,review_needed,L2,0.7052,70.5,wrong_degree
Indian 10th Standard qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India 10th Standard qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN 10th Standard qualification,10th Standard,12th Standard,,,review_needed,L2,0.7052,70.5,wrong_degree
10TH qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian 10TH,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian 10TH qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian 10TH (India),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian 10TH (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian 10TH (school qualification),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India 10TH,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India 10TH qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India 10TH (India),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India 10TH (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India 10TH (school qualification),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN 10TH qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian CBSE10th qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India CBSE10th qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
cbse 10th qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian cbse 10th qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India cbse 10th qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN cbse 10th qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
X (Hons) qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
